step,lr,train_loss,val_loss,val_ppl,tok_per_sec
0,0.000000e+00,10.965133,10.980758,58733.0279,256.7
100,5.999584e-04,10.210459,9.143069,9349.4133,6856.1
200,5.996537e-04,8.788450,8.254606,3845.2951,6860.0
300,5.990534e-04,8.009894,7.717235,2246.7379,6860.9
400,5.981582e-04,7.656061,7.538585,1879.1691,6858.4
500,5.969691e-04,7.559079,7.498074,1804.5641,6858.3
600,5.954874e-04,7.482780,7.401853,1639.0187,6856.9
700,5.937147e-04,7.400334,7.316166,1504.4249,6853.4
800,5.916530e-04,7.300951,7.208034,1350.2354,6853.6
900,5.893045e-04,7.238407,7.141958,1263.9007,6853.0
1000,5.866718e-04,7.175963,7.071578,1178.0052,6853.5
1100,5.837577e-04,7.109811,7.027822,1127.5718,6852.9
1200,5.805656e-04,7.052273,6.981867,1076.9272,6852.2
1300,5.770988e-04,7.007417,6.922085,1014.4328,6853.0
1400,5.733612e-04,6.954269,6.888109,980.5454,6853.3
1500,5.693569e-04,6.905014,6.828640,923.9334,6852.5
1600,5.650903e-04,6.862623,6.760915,863.4317,6853.0
1700,5.605659e-04,6.802484,6.712067,822.2685,6853.5
1800,5.557889e-04,6.761511,6.666745,785.8335,6853.4
1900,5.507644e-04,6.687569,6.625953,754.4231,6851.9
2000,5.454979e-04,6.677475,6.591465,728.8480,6852.6
2100,5.399953e-04,6.618656,6.560158,706.3833,6852.4
2200,5.342624e-04,6.585041,6.526927,683.2953,6851.8
2300,5.283058e-04,6.554836,6.497921,663.7599,6854.1
2400,5.221317e-04,6.524309,6.464498,641.9422,6852.9
2500,5.157471e-04,6.493917,6.436172,624.0138,6853.6
2600,5.091589e-04,6.483468,6.411154,608.5954,6851.6
2700,5.023743e-04,6.452744,6.387861,594.5833,6851.8
2800,4.954008e-04,6.432146,6.363434,580.2356,6851.0
2900,4.882461e-04,6.400480,6.346765,570.6434,6851.1
3000,4.809179e-04,6.385500,6.324344,557.9915,6850.1
3100,4.734242e-04,6.361720,6.307443,548.6401,6852.1
3200,4.657734e-04,6.355967,6.279552,533.5495,6851.0
3300,4.579738e-04,6.334145,6.263222,524.9074,6851.0
3400,4.500339e-04,6.304463,6.246171,516.0329,6850.5
3500,4.419624e-04,6.312440,6.228824,507.1589,6852.8
3600,4.337683e-04,6.263464,6.215039,500.2157,6855.4
3700,4.254604e-04,6.275735,6.200650,493.0692,6855.4
3800,4.170478e-04,6.253056,6.187126,486.4460,6857.5
3900,4.085399e-04,6.229473,6.173166,479.7024,6859.1
4000,3.999459e-04,6.220547,6.153882,470.5406,6859.1
4100,3.912752e-04,6.189104,6.141681,464.8341,6862.9
4200,3.825374e-04,6.204636,6.128420,458.7109,6862.3
4300,3.737420e-04,6.162164,6.115250,452.7091,6865.4
4400,3.648986e-04,6.159765,6.105365,448.2563,6865.3
4500,3.560170e-04,6.155995,6.093582,443.0054,6865.9
4600,3.471069e-04,6.174443,6.082085,437.9414,6866.2
4700,3.381780e-04,6.130328,6.071564,433.3580,6865.9
4800,3.292402e-04,6.132933,6.057559,427.3313,6867.1
4900,3.203032e-04,6.115415,6.046142,422.4801,6860.0
5000,3.113768e-04,6.086207,6.036371,418.3720,6857.9
5100,3.024708e-04,6.094260,6.026129,414.1087,6853.5
5200,2.935950e-04,6.088499,6.016670,410.2104,6854.4
5300,2.847592e-04,6.076136,6.007289,406.3801,6855.6
5400,2.759729e-04,6.061802,5.998797,402.9436,6854.4
5500,2.672458e-04,6.054695,5.992992,400.6115,6854.0
5600,2.585875e-04,6.042717,5.983332,396.7600,6852.6
5700,2.500074e-04,6.036964,5.974371,393.2205,6853.8
5800,2.415150e-04,6.029604,5.966202,390.0217,6853.8
5900,2.331197e-04,6.017686,5.959517,387.4230,6853.9
6000,2.248305e-04,5.989563,5.950872,384.0883,6856.5
6100,2.166565e-04,6.013151,5.946151,382.2792,6858.9
6200,2.086068e-04,5.999960,5.939233,379.6438,6862.2
6300,2.006902e-04,6.006432,5.932047,376.9253,6864.7
6400,1.929152e-04,5.989925,5.924181,373.9719,6864.0
6500,1.852905e-04,5.990218,5.919021,372.0474,6867.2
6600,1.778245e-04,5.973913,5.915319,370.6727,6866.2
6700,1.705252e-04,5.961141,5.909046,368.3545,6868.4
6800,1.634007e-04,5.969038,5.904457,366.6681,6869.5
6900,1.564588e-04,5.969324,5.899333,364.7942,6867.4
7000,1.497071e-04,5.949428,5.895883,363.5375,6867.4
7100,1.431530e-04,5.940911,5.890982,361.7604,6867.2
7200,1.368037e-04,5.958727,5.885850,359.9085,6868.7
7300,1.306661e-04,5.959690,5.881363,358.2974,6869.1
7400,1.247470e-04,5.940519,5.878481,357.2663,6870.6
7500,1.190529e-04,5.932356,5.873988,355.6645,6868.1
7600,1.135900e-04,5.930668,5.870718,354.5034,6868.6
7700,1.083642e-04,5.933608,5.868110,353.5801,6869.6
7800,1.033814e-04,5.936138,5.863450,351.9361,6869.2
7900,9.864697e-05,5.927276,5.860983,351.0690,6870.3
8000,9.416611e-05,5.928385,5.857906,349.9905,6868.6
8100,8.994372e-05,5.910619,5.853553,348.4703,6870.2
8200,8.598444e-05,5.908196,5.852575,348.1298,6869.8
8300,8.229260e-05,5.918253,5.848833,346.8293,6870.1
8400,7.887226e-05,5.899646,5.847051,346.2119,6872.0
8500,7.572716e-05,5.892122,5.844413,345.2998,6871.5
8600,7.286074e-05,5.896326,5.842113,344.5066,6870.8
8700,7.027616e-05,5.912756,5.840142,343.8280,6869.9
8800,6.797624e-05,5.903504,5.837155,342.8028,6870.4
8900,6.596351e-05,5.888343,5.835137,342.1115,6870.0
9000,6.424016e-05,5.895624,5.833187,341.4451,6869.7
9100,6.280809e-05,5.889921,5.831138,340.7463,6869.3
9200,6.166887e-05,5.902463,5.829577,340.2146,6868.7
9300,6.082375e-05,5.896256,5.827383,339.4691,6867.4
9400,6.027365e-05,5.895472,5.825425,338.8051,6867.9
9500,6.001918e-05,5.896913,5.823480,338.1466,6866.7
