step,lr,train_loss,val_loss,val_ppl,tok_per_sec
0,0.000000e+00,10.940525,10.940283,56403.3156,192.4
100,5.999584e-04,10.201594,9.270760,10622.8212,3905.2
200,5.996537e-04,8.912371,8.409111,4487.7699,3925.7
300,5.990534e-04,8.164973,7.874286,2628.8078,3945.3
400,5.981582e-04,7.788079,7.676878,2157.8733,3951.3
500,5.969691e-04,7.706130,7.682120,2169.2135,3955.4
600,5.954874e-04,7.707169,7.671229,2145.7167,3951.3
700,5.937147e-04,7.684688,7.637986,2075.5598,3952.5
800,5.916530e-04,7.703674,7.636580,2072.6437,3953.8
900,5.893045e-04,7.671600,7.630676,2060.4430,3959.0
1000,5.866718e-04,7.671851,7.617362,2033.1921,3956.6
1100,5.837577e-04,7.646366,7.601269,2000.7334,3953.4
1200,5.805656e-04,7.619579,7.582579,1963.6867,3958.0
1300,5.770988e-04,7.600710,7.561996,1923.6811,3953.0
1400,5.733612e-04,7.573434,7.530454,1863.9518,3961.5
1500,5.693569e-04,7.542452,7.493875,1797.0021,3955.4
1600,5.650903e-04,7.503690,7.431348,1688.0818,3948.9
1700,5.605659e-04,7.452958,7.381756,1606.4089,3954.3
1800,5.557889e-04,7.410824,7.328323,1522.8260,3954.4
1900,5.507644e-04,7.327554,7.257261,1418.3665,3955.6
2000,5.454979e-04,7.281289,7.187176,1322.3635,3959.7
2100,5.399953e-04,7.183863,7.116154,1231.7044,3953.8
2200,5.342624e-04,7.121292,7.058587,1162.8006,3960.3
2300,5.283058e-04,7.068118,7.009184,1106.7515,3953.7
2400,5.221317e-04,7.021086,6.952019,1045.2582,3954.1
2500,5.157471e-04,6.972932,6.915866,1008.1434,3951.0
2600,5.091589e-04,6.948803,6.874833,967.6142,3954.5
2700,5.023743e-04,6.909345,6.844292,938.5084,3952.0
2800,4.954008e-04,6.875366,6.806085,903.3277,3954.2
2900,4.882461e-04,6.827800,6.769969,871.2847,3951.1
3000,4.809179e-04,6.797974,6.737774,843.6803,3957.1
3100,4.734242e-04,6.767215,6.701850,813.9105,3954.1
3200,4.657734e-04,6.742081,6.664104,783.7609,3957.5
3300,4.579738e-04,6.711137,6.641317,766.1034,3951.5
3400,4.500339e-04,6.672171,6.613986,745.4487,3953.9
3500,4.419624e-04,6.670810,6.591720,729.0335,3953.7
3600,4.337683e-04,6.620877,6.572614,715.2370,3957.8
3700,4.254604e-04,6.627017,6.551189,700.0763,3952.2
3800,4.170478e-04,6.598502,6.531765,686.6088,3951.1
3900,4.085399e-04,6.578580,6.524887,681.9024,3949.5
4000,3.999459e-04,6.571105,6.503997,667.8056,3949.1
4100,3.912752e-04,6.536395,6.483101,653.9956,3951.7
4200,3.825374e-04,6.544805,6.467319,643.7555,3954.1
4300,3.737420e-04,6.499860,6.456042,636.5368,3952.5
4400,3.648986e-04,6.494074,6.441500,627.3469,3949.7
4500,3.560170e-04,6.486227,6.425989,617.6912,3955.0
